Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.0,Thu Nov 08 19:18:44 +0000 2018,1.0,0.0,Fox,0.0,1
-0.6124,Thu Nov 08 17:02:25 +0000 2018,0.615,0.269,Fox,0.115,2
-0.7783,Thu Nov 08 15:14:45 +0000 2018,0.638,0.362,Fox,0.0,3
0.7906,Thu Nov 08 14:22:51 +0000 2018,0.611,0.0,Fox,0.389,4
-0.6369,Thu Nov 08 13:43:25 +0000 2018,0.833,0.167,Fox,0.0,5
-0.6597,Thu Nov 08 13:35:03 +0000 2018,0.672,0.328,Fox,0.0,6
-0.34,Thu Nov 08 13:22:27 +0000 2018,0.862,0.138,Fox,0.0,7
0.0,Thu Nov 08 12:56:20 +0000 2018,1.0,0.0,Fox,0.0,8
0.0,Thu Nov 08 12:37:05 +0000 2018,1.0,0.0,Fox,0.0,9
-0.34,Thu Nov 08 12:25:14 +0000 2018,0.87,0.13,Fox,0.0,10
0.0258,Thu Nov 08 12:06:14 +0000 2018,0.795,0.1,Fox,0.105,11
-0.6486,Thu Nov 08 11:54:22 +0000 2018,0.736,0.264,Fox,0.0,12
-0.6486,Thu Nov 08 11:38:17 +0000 2018,0.719,0.281,Fox,0.0,13
0.0,Thu Nov 08 11:32:26 +0000 2018,1.0,0.0,Fox,0.0,14
-0.6486,Thu Nov 08 11:26:46 +0000 2018,0.677,0.323,Fox,0.0,15
-0.6486,Thu Nov 08 11:18:08 +0000 2018,0.719,0.281,Fox,0.0,16
-0.6486,Thu Nov 08 11:13:32 +0000 2018,0.765,0.235,Fox,0.0,17
0.0,Thu Nov 08 11:12:14 +0000 2018,1.0,0.0,Fox,0.0,18
0.0,Thu Nov 08 10:53:33 +0000 2018,1.0,0.0,Fox,0.0,19
0.0,Thu Nov 08 10:36:12 +0000 2018,1.0,0.0,Fox,0.0,20
0.0,Thu Nov 08 19:18:44 +0000 2018,1.0,0.0,Fox,0.0,21
-0.6124,Thu Nov 08 17:02:25 +0000 2018,0.615,0.269,Fox,0.115,22
-0.7783,Thu Nov 08 15:14:45 +0000 2018,0.638,0.362,Fox,0.0,23
0.7906,Thu Nov 08 14:22:51 +0000 2018,0.611,0.0,Fox,0.389,24
-0.6369,Thu Nov 08 13:43:25 +0000 2018,0.833,0.167,Fox,0.0,25
